CISP,MUNICIPIO,LOCAL DO REGISTRO,DATA DO FATO,FAIXA DE HORA DO FATO,DESCRICAO,IDADE,COR,RELACAO COM VITIMA,LOCAL DO FATO,LEI APLICADA
58 CISP,NOVA IGUACU,DEAM - NOVA IGUACU,1/01/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,23,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
48 CISP,SEROPEDICA,OUTRAS DELEGACIAS,6/01/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,36,PRETA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
64 CISP,SAO JOAO DE MERITI,OUTRAS DELEGACIAS,9/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO,19,PRETA,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
55 CISP,QUEIMADOS,OUTRAS DELEGACIAS,16/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO,58,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,OUTRAS DELEGACIAS,20/01/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,28,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,OUTRAS DELEGACIAS,21/01/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,33,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,25/01/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,27,PRETA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,25/01/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,27,PRETA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,28/01/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,25,PRETA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
66 CISP,MAGE,OUTRAS DELEGACIAS,3/02/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,45,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,5/02/2018,TARDE - 12H AS 17H59,FEMINICIDIO,44,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
61 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,5/02/2018,TARDE - 12H AS 17H59,FEMINICIDIO,33,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
50 CISP,ITAGUAI,OUTRAS DELEGACIAS,19/02/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,45,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
50 CISP,ITAGUAI,OUTRAS DELEGACIAS,19/02/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,29,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
50 CISP,ITAGUAI,OUTRAS DELEGACIAS,19/02/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,19,PARDA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
64 CISP,SAO JOAO DE MERITI,DEAM - SAO JOAO DE MERITI,20/02/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,40,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
62 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,27/02/2018,TARDE - 12H AS 17H59,FEMINICIDIO,22,PRETA,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
55 CISP,QUEIMADOS,NUAM - QUEIMADOS,1/03/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,30,PARDA,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
60 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,4/03/2018,NOITE - 18H AS 23H59,FEMINICIDIO,24,PARDA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
